index,creation_date,status,completion_date,surface_type,graffiti_spot,address,zipcode,ward,police_district,community_area,latitude,longitude,location
18-01135493,04/05/2018,Completed,04/05/2018,Metal - Painted,Newspaper Box,3858 N CLARK ST,60613,44,19,6,41.9524482639688,-87.6608918564645,"(41.952448263969, -87.660891856465)"
18-01130764,04/05/2018,Completed,04/05/2018,Metal - Painted,Sign,3929 E 106TH ST,60617,10,4,52,41.702587733175505,-87.52811503947251,"(41.702587733176, -87.528115039472)"
18-02923245,10/15/2018,Completed,10/15/2018,Glass,Window,2156 W ROSCOE ST,60618,32,19,5,41.9432695070581,-87.68315993505291,"(41.943269507058, -87.683159935053)"
18-01130415,04/05/2018,Completed,04/05/2018,Metal - Painted,Front,2001 W LAWRENCE AVE,60625,47,19,4,41.9686456329559,-87.67924415127321,"(41.968645632956, -87.679244151273)"
18-01119552,04/04/2018,Completed,04/05/2018,Brick - Painted,Alley,5148 S KEDZIE AVE,60632,14,8,63,41.7993656550905,-87.70387136072608,"(41.79936565509, -87.703871360726)"
17-05918745,09/06/2017,Completed,09/07/2017,Brick - Unpainted,Side,72 E RANDOLPH ST,60601,42,1,32,41.884607839210204,-87.6252454480074,"(41.88460783921, -87.625245448007)"
17-05924485,09/06/2017,Completed,09/07/2017,Brick - Unpainted,Front,2 W 103RD ST,60628,9,5,49,41.7072735816186,-87.6235859233645,"(41.707273581619, -87.623585923365)"
17-05923476,09/06/2017,Completed,09/07/2017,Metal - Painted,Mail Box,4509 N WESTERN AVE,60625,47,19,4,41.9634579042668,-87.68859897042792,"(41.963457904267, -87.688598970428)"
18-01130429,04/05/2018,Completed,04/05/2018,Wood - Unpainted,Pole,2112 S HALSTED ST,60608,11,12,31,41.85379509418449,-87.6466721669314,"(41.853795094184, -87.646672166931)"
17-05942925,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Pole,2858 W BELMONT AVE,60618,33,17,21,41.9394874506307,-87.700181973948,"(41.939487450631, -87.700181973948)"
17-05923840,09/06/2017,Completed,09/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,327 W CALHOUN PL,60606,42,1,32,41.8824616960146,-87.63611775014358,"(41.882461696015, -87.636117750144)"
17-05943894,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Dumpster,2736 N CLARK ST,60614,43,19,7,41.9322509672907,-87.6449304995792,"(41.932250967291, -87.644930499579)"
17-05942237,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Pole,3424 W MONTROSE AVE,60618,35,17,14,41.9612249925453,-87.7142196339716,"(41.961224992545, -87.714219633972)"
18-01125260,04/04/2018,Completed,04/05/2018,Brick - Unpainted,Side,2820 W 66TH ST,60629,17,8,66,41.773744589530395,-87.6941627969706,"(41.77374458953, -87.694162796971)"
17-05924434,09/06/2017,Completed,09/07/2017,Wood - Painted,Garage,3825 W 31ST ST,60623,22,10,30,41.8368371258944,-87.72062505434091,"(41.836837125894, -87.720625054341)"
18-01131232,04/05/2018,Completed,04/05/2018,Metal - Painted,Front,2801 N SHEFFIELD AVE,60657,44,19,6,41.932686847404206,-87.6537135702072,"(41.932686847404, -87.653713570207)"
17-05940219,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Dumpster,3126 N CLIFTON AVE,60657,44,19,6,41.938858911717,-87.65786595345101,"(41.938858911717, -87.657865953451)"
17-05942594,09/07/2017,Completed,09/07/2017,Other / Unknown Surface,Front,3 S KEDZIE AVE,60612,28,11,27,41.8808461072001,-87.7059723671565,"(41.8808461072, -87.705972367156)"
17-05943152,09/07/2017,Completed,09/07/2017,Brick - Painted,Front,3944 N SHERIDAN RD,60613,46,19,6,41.9540597042654,-87.6546801449411,"(41.954059704265, -87.654680144941)"
17-05943885,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Dumpster,2736 N CLARK ST,60614,43,19,7,41.9322509672907,-87.6449304995792,"(41.932250967291, -87.644930499579)"
18-02923561,10/15/2018,Completed,10/15/2018,"Cement (Sidewalk, Alley, Wall, Curb)",Front,2415 N ELSTON AVE,60647,32,14,22,41.925426695453,-87.6777957823268,"(41.925426695453, -87.677795782327)"
17-05898625,09/05/2017,Completed,09/07/2017,Brick - Painted,Viaduct,3774 S ARCHER AVE,60632,12,9,58,41.824984727059295,-87.6867385837762,"(41.824984727059, -87.686738583776)"
17-05929093,09/06/2017,Completed,09/07/2017,Metal - Painted,Alley,1761 W LUNT AVE,60626,49,24,1,42.008864037604795,-87.6746415678723,"(42.008864037605, -87.674641567872)"
17-05916990,09/06/2017,Completed,09/07/2017,Metal - Painted,Traffic Control Box,650 W WAYMAN ST,60661,42,12,28,41.8875530587106,-87.64479021822201,"(41.887553058711, -87.644790218222)"
18-01123189,04/04/2018,Completed,04/05/2018,Brick - Unpainted,Front,3138 N KEDZIE AVE,60618,35,14,21,41.9386627508227,-87.7077937299078,"(41.938662750823, -87.707793729908)"
17-05928041,09/06/2017,Completed,09/07/2017,Metal - Painted,Alley,18 S WACKER RAMP,60606,42,1,32,41.8814179859264,-87.6370266172419,"(41.881417985926, -87.637026617242)"
17-05928078,09/06/2017,Completed,09/07/2017,Brick - Unpainted,Alley,6333 S CICERO AVE,60638,13,8,64,41.7774360849896,-87.7421135824258,"(41.77743608499, -87.742113582426)"
17-05929518,09/06/2017,Completed,09/07/2017,Metal - Painted,Alley,1527 W HOLLYWOOD AVE,60660,48,20,77,41.98533116474951,-87.66864641003971,"(41.985331164749, -87.66864641004)"
17-05916483,09/06/2017,Completed,09/07/2017,Brick - Painted,Side,4540 S CICERO AVE,60638,22,8,56,41.8100451495616,-87.74336339233909,"(41.810045149562, -87.743363392339)"
17-05932681,09/06/2017,Completed,09/07/2017,Metal - Painted,Pole,4007 N OAKLEY AVE,60618,47,19,5,41.954312930016606,-87.6859030655648,"(41.954312930017, -87.685903065565)"
18-01130874,04/05/2018,Completed,04/05/2018,Metal - Painted,Front,2052 N DAYTON ST,60614,43,18,7,41.9197140095463,-87.649929105032,"(41.919714009546, -87.649929105032)"
17-05940482,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Door,3346 W LAWRENCE AVE,60625,33,17,14,41.9685158261604,-87.71280051570471,"(41.96851582616, -87.712800515705)"
17-05940725,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Sign,4059 N MONTICELLO AVE,60618,45,17,16,41.9554991189534,-87.7189422452243,"(41.955499118953, -87.718942245224)"
17-05929273,09/06/2017,Completed,09/07/2017,Wood - Painted,Alley,1548 W ARTHUR AVE,60626,40,24,1,42.0000259065516,-87.6699615103729,"(42.000025906552, -87.669961510373)"
17-05920508,09/06/2017,Completed,09/07/2017,Brick - Painted,Alley,5659 S KEDZIE AVE,60629,14,8,63,41.7899763502941,-87.7033096791572,"(41.789976350294, -87.703309679157)"
18-01133387,04/05/2018,Completed,04/05/2018,Brick - Painted,Front,1529 N MILWAUKEE AVE,60622,1,14,24,41.90938125346221,-87.67568265841129,"(41.909381253462, -87.675682658411)"
17-05934913,09/06/2017,Completed,09/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,807 W HUBBARD ST,60642,27,12,24,41.889972591403705,-87.64792453709471,"(41.889972591404, -87.647924537095)"
17-05894100,09/05/2017,Completed,09/07/2017,Vinyl Siding,Side,3600 S WOOD ST,60609,12,9,59,41.8285253620044,-87.6704972854928,"(41.828525362004, -87.670497285493)"
17-05905238,09/05/2017,Completed,09/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1913 S HALSTED ST,60608,11,12,31,41.8562996805869,-87.64645074728371,"(41.856299680587, -87.646450747284)"
18-02912754,10/13/2018,Completed,10/15/2018,Metal - Painted,Alley,3630 N WESTERN AVE,60618,47,19,5,41.947665385791,-87.68843363514222,"(41.947665385791, -87.688433635142)"
17-05929375,09/06/2017,Completed,09/07/2017,Metal - Painted,Alley,6833 N SHERIDAN RD,60626,49,24,1,42.006609078063505,-87.6610924173748,"(42.006609078063, -87.661092417375)"
18-02925898,10/15/2018,Completed,10/15/2018,Glass,Front,2837 N MILWAUKEE AVE,60618,35,14,21,41.93281333549191,-87.713312354288,"(41.932813335492, -87.713312354288)"
18-01133442,04/05/2018,Completed,04/05/2018,Metal - Painted,Door,7251 S HALSTED ST,60621,6,7,68,41.761882497162794,-87.6441814627792,"(41.761882497163, -87.644181462779)"
18-01131350,04/05/2018,Completed,04/05/2018,Metal - Painted,Front,958 W DIVERSEY PKWY,60614,44,19,6,41.9327489960087,-87.6538014889958,"(41.932748996009, -87.653801488996)"
17-05916690,09/06/2017,Completed,09/07/2017,Metal - Painted,Traffic Control Box,3579 W PALMER ST,60647,35,14,22,41.920835944816396,-87.7167281294373,"(41.920835944816, -87.716728129437)"
18-01132289,04/05/2018,Completed,04/05/2018,Brick - Painted,Front,111 N FRANKLIN ST,60606,42,1,32,41.883509970876204,-87.6352044147857,"(41.883509970876, -87.635204414786)"
