Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
08/31/2017,Completed,08/31/2017,17-05804746,Graffiti Removal,Metal - Painted,Side,3901 W 63RD ST,60629,1151447.87153127,1862543.10127768,13,8,65,3,41.77858402895980,-87.72042747829500,"(41.77858402896, -87.720427478295)"
04/03/2018,Completed,04/04/2018,18-01108966,Graffiti Removal,Brick - Unpainted,Side,3151 W LAWRENCE AVE,60625,1154409.44567889,1931718.54491441,33,17,14,60,41.96834935467360,-87.70809473880440,"(41.968349354674, -87.708094738804)"
08/31/2017,Completed,08/31/2017,17-05810247,Graffiti Removal,Metal - Unpainted,Dumpster,2756 S HARDING AVE,60623,1150489.48238481,1885381.18870611,22,10,30,,41.840732205126,-87.72338041016160,"(41.840732205126, -87.723380410162)"
08/31/2017,Completed,08/31/2017,17-05810089,Graffiti Removal,Metal - Painted,Pole,2001 W 21ST ST,60608,1163351.77726776,1890077.37233083,25,12,31,,41.85390032734840,-87.67601488959060,"(41.853900327348, -87.676014889591)"
08/31/2017,Completed,08/31/2017,17-05810651,Graffiti Removal,Metal - Painted,Viaduct,4000 S STATE ST,60609,1176939.89617518,1878451.3099053,3,2,38,,41.82172520260300,-87.62654236744800,"(41.821725202603, -87.626542367448)"
08/29/2017,Completed,08/31/2017,17-05765868,Graffiti Removal,Brick - Painted,Front,1724 W GRAND AVE,60622,1164699.17987953,1903541.08179202,1,12,24,,41.891037497112400,-87.6706259896547,"(41.891037497112, -87.670625989655)"
08/31/2017,Completed,08/31/2017,17-05808256,Graffiti Removal,Metal - Painted,Front,10458 S WESTERN AVE,60643,1162239.41086769,1835215.96811584,19,22,72,20,41.70282091084650,-87.68165334834920,"(41.702820910846, -87.681653348349)"
08/31/2017,Completed,08/31/2017,17-05812938,Graffiti Removal,Metal - Painted,Traffic Control Box,6101 S KEDZIE AVE,60629,1156098.23638135,1863991.42812962,16,8,66,3,41.782567389854300,-87.70309667303130,"(41.782567389854, -87.703096673031)"
08/31/2017,Completed,08/31/2017,17-05804808,Graffiti Removal,Metal - Painted,Door,252 W LAKE ST,60606,1174400.55677221,1901724.58017949,42,1,32,,41.885843869652900,-87.63537349886450,"(41.885843869653, -87.635373498864)"
08/31/2017,Completed,08/31/2017,17-05806567,Graffiti Removal,Metal - Painted,Pole,5147 N WESTERN AVE,60625,1159422.22933349,1934206.96579121,40,20,4,,41.97548465793440,-87.68898708679370,"(41.975484657934, -87.688987086794)"
